id,description
1405,Title: Vase. Date: ca. 1884. Manufacturer: Union Porcelain Works. Classification: Ceramic. Medium: Porcelain.
1557,"Title: Cabinet. Date: ca. 1872. Maker: Herter Brothers. Classification: Furniture. Medium: Ebonized cherry, other woods, glass, brass, pigment."
1677,Title: Leg Splint. Date: designed 1941-1942; manufactured 1943-1945. Designer: Charles Eames. Classification: Medical. Medium: Plywood.
1679,"Title: Sparton Table Radio. Date: ca. 1936. Manufacturer: Sparks-Withington Co.. Classification: Recreation, Toys, Games. Medium: Glass, metal, wood, rubber."
1688,"Title: ""Normandie"" Pitcher. Date: ca. 1935. Designer: Peter Muller-Munk. Classification: Food/Drink. Medium: Chrome-plated brass."
1849,"Title: Tray or Waiter. Date: ca. 1893. Maker: Tiffany & Company. Classification: Food/Drink. Medium: Silver, agate."
3626,Title: Ewer with Cover. Date: first half 12th century. Classification: Ceramic. Medium: Stoneware with underglaze slip decoration and celadon glaze.
3932,"Title: Anthropoid Coffin of the Servant of the Great Place, Teti. Date: ca. 1339-1307 B.C.E.. Classification: Funerary Object. Medium: Wood, pigment."
96192,"Title: Weil-Worgelt Study. Date: ca. 1928-1930. Decorator: Alavoine of Paris and New York. Classification: Period House or Room. Medium: Lacquer, glass, leather, veneered panels."
116787,"Title: Mummy and Cartonnage of Hor. Date: 798 B.C.E.-558 B.C.E.. Culture: Egyptian. Classification: Funerary Object. Medium: Linen, pigment, gesso, human remains."
146945,"Title: Cabinet-Secretary. Date: ca. 1875. Designer and Manufacturer: Kimbel and Cabus. Classification: Furniture. Medium: Painted cherry, copper, brass, gilding, leather, earthenware."
713,Title: Century Vase. Date: 1876. Designer: Karl L. H. Mueller. Classification: Ceramic. Medium: Porcelain.
3106,Title: Brush Jar with an Imperial Inscription. Date: 18th century. Classification: Vessel. Medium: Carved jade and hardstone.
3432,Title: Statue of Ity-sen. Date: ca. 2500-2350 B.C.E.. Classification: Sculpture. Medium: Limestone.
3551,"Title: Statue of Metjetji. Date: ca. 2371-2288 B.C.E.. Classification: Sculpture. Medium: Wood, gesso, pigment, alabaster, obsidian, copper alloy."
3576,Title: Goddess Seshat. Date: ca. 1919-1875 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Limestone.
3700,"Title: Nefertiti and Her Daughter. Date: ca. 1352-1336 B.C.E.. Classification: Sculpture. Medium: Limestone, pigment."
3817,Title: Bound Nubian Prisoner. Date: ca. 1979-1801 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Limestone.
3934,Title: Relief of Montuhotep III. Date: ca. 1957–1945 B.C.E.. Classification: Sculpture. Medium: Limestone.
3948,"Title: Chair. Date: ca. 1400-1292 B.C.E.. Classification: Furniture. Medium: Wood, bone, modern fiber."
4035,"Title: Isis Nursing Horus. Date: ca. 712-525 B.C.E.. Culture: Egyptian. Classification: Sculpture. Medium: Egyptian alabaster (calcite), bronze."
4295,Title: Tianhuang Seal. Date: first half 19th century. Artist: Qian Song. Classification: Sculpture. Medium: Tianhuang (heavenly yellow) stone.
4742,"Title: Spherical Hanging Ornament. Date: 1575-1585. Medium: Ceramic; fritware, painted in black, cobalt blue, green, and red on a white slip ground under a transparent glaze."
60645,"Title: The Brooklyn Oracle Papyrus. Date: October 4, 651 B.C.E.. Classification: Document. Medium: Papyrus, pigment, ink."
