id,title,role,constituent,classification,medium,date
1405,Vase,Manufacturer,Union Porcelain Works,Ceramic,Porcelain,ca. 1884
1557,Cabinet,Maker,Herter Brothers,Furniture,"Ebonized cherry, other woods, glass, brass, pigment",ca. 1872
1677,Leg Splint,Designer,Charles Eames,Medical,Plywood,designed 1941-1942; manufactured 1943-1945
1679,Sparton Table Radio,Manufacturer,Sparks-Withington Co.,"Recreation, Toys, Games","Glass, metal, wood, rubber",ca. 1936
1688,"""Normandie"" Pitcher",Designer,Peter Muller-Munk,Food/Drink,Chrome-plated brass,ca. 1935
1849,Tray or Waiter,Maker,Tiffany & Company,Food/Drink,"Silver, agate",ca. 1893
3626,Ewer with Cover,,,Ceramic,Stoneware with underglaze slip decoration and celadon glaze,first half 12th century
3932,"Anthropoid Coffin of the Servant of the Great Place, Teti",,,Funerary Object,"Wood, pigment",ca. 1339-1307 B.C.E.
96192,Weil-Worgelt Study,Decorator,Alavoine of Paris and New York,Period House or Room,"Lacquer, glass, leather, veneered panels",ca. 1928-1930
116787,Mummy and Cartonnage of Hor,Culture,Egyptian,Funerary Object,"Linen, pigment, gesso, human remains",798 B.C.E.-558 B.C.E.
146945,Cabinet-Secretary,Designer and Manufacturer,Kimbel and Cabus,Furniture,"Painted cherry, copper, brass, gilding, leather, earthenware",ca. 1875
713,Century Vase,Designer,Karl L. H. Mueller,Ceramic,Porcelain,1876
3106,Brush Jar with an Imperial Inscription,,,Vessel,Carved jade and hardstone,18th century
3432,Statue of Ity-sen,,,Sculpture,Limestone,ca. 2500-2350 B.C.E.
3551,Statue of Metjetji,,,Sculpture,"Wood, gesso, pigment, alabaster, obsidian, copper alloy",ca. 2371-2288 B.C.E.
3576,Goddess Seshat,Culture,Egyptian,Sculpture,Limestone,ca. 1919-1875 B.C.E.
3700,Nefertiti and Her Daughter,,,Sculpture,"Limestone, pigment",ca. 1352-1336 B.C.E.
3817,Bound Nubian Prisoner,Culture,Egyptian,Sculpture,Limestone,ca. 1979-1801 B.C.E.
3934,Relief of Montuhotep III,,,Sculpture,Limestone,ca. 1957–1945 B.C.E.
3948,Chair,,,Furniture,"Wood, bone, modern fiber",ca. 1400-1292 B.C.E.
4035,Isis Nursing Horus,Culture,Egyptian,Sculpture,"Egyptian alabaster (calcite), bronze",ca. 712-525 B.C.E.
4295,Tianhuang Seal,Artist,Qian Song,Sculpture,Tianhuang (heavenly yellow) stone,first half 19th century
4742,Spherical Hanging Ornament,,,,"Ceramic; fritware, painted in black, cobalt blue, green, and red on a white slip ground under a transparent glaze",1575-1585
60645,The Brooklyn Oracle Papyrus,,,Document,"Papyrus, pigment, ink","October 4, 651 B.C.E."
